eventid,iyear,imonth,iday,provstate,city,latitude,longitude,vicinity,crit1,crit2,crit3,doubtterr,alternative_txt,multiple,success,suicide,attacktype1_txt,attacktype2_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,targsubtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gsubname2,individual,nperps,nperpcap,claimed,claimmode_txt,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weapsubtype2_txt,weaptype3_txt,weapsubtype3_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent_txt,ishostkid,nhostkid,nhostkidus,nhours,ransom,hostkidoutcome,hostkidoutcome_txt,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,Twitter
201512310048,2015,12,31,Pennsylvania,Strasburg,39.983107,-76.184353,0,1,1,1,0,,0,1,0,Bombing/Explosion,,Private Citizens & Property,Religion Identified,Not Applicable,Amish Produce Shed,United States,,,,,,,,,,,Unknown,,,1,2,2,1,Personal claim,Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201601070024,2016,1,7,Pennsylvania,Philadelphia,39.956614,-75.242429,0,1,1,1,0,,0,1,0,Armed Assault,,Police,Police Security Forces/Officers,Philadelphia City Police,Officer: Jesse Hartnet,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,1,1,Personal claim,Firearms,Automatic Weapon,,,,,0,0,0,2,2,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201601150040,2016,1,15,New York,New York City,40.828977,-73.856654,0,1,1,1,0,,0,1,0,Unarmed Assault,,Private Citizens & Property,Religion Identified,Not Applicable,Muslim Civilian: Mujibur Rahman,Bangladesh,,,,,,,,,,,Anti-Muslim extremists,,,1,2,2,0,,Melee,"Hands, Feet, Fists",,,,,0,0,0,1,,0,0,,0,,,,,,,,-9,-9,1,1,0
201602110023,2016,2,11,Ohio,Columbus,40.064024,-82.863818,0,1,1,1,0,,0,1,0,Armed Assault,,Business,Restaurant/Bar/Café,Nazareth Restaurant & Deli,Restaurant,United States,,,,,,,,,,,Muslim extremists,,,1,1,0,0,,Melee,Knife or Other Sharp Object,,,,,1,1,1,4,4,0,0,,0,,,,,,,,-9,-9,0,-9,0
201602180063,2016,2,18,Indiana,Nashville,39.207489,-86.246998,0,1,1,1,1,Lack of Intentionality,0,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Not Applicable,Chinese Civilian: Zhang Yue,China,,,,,,,,,,,White extremists,,,1,1,1,1,Personal claim,Melee,Knife or Other Sharp Object,,,,,0,0,0,1,0,0,0,,0,,,,,,,,-9,-9,1,1,0
201602280069,2016,2,28,California,Lake Los Angeles,34.605975,-117.829953,0,1,1,1,0,,0,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Not Applicable,Hispanic Civilians,United States,,,,,,,,,,,White extremists,,,1,3,3,0,,Melee,Knife or Other Sharp Object,Melee,"Hands, Feet, Fists",,,0,0,0,3,3,0,0,,0,,,,,,,,-9,-9,0,-9,0
201603300069,2016,3,30,Massachusetts,Tyngsborough,42.691279,-71.438679,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Utilities,Electricity,Unknown,Power Lines,United States,,,,,,,,,,,Court Reform extremists,,,1,1,1,1,Note left at scene,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201604210055,2016,4,21,Idaho,Bonners Ferry,48.684131,-116.316826,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,St. Ann's Curch,Catholic Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Major (likely > $1 million but < $1 billion),0,,,,,,,,-9,-9,0,-9,0
201604260043,2016,4,26,Massachusetts,Haverhill,42.7678,-71.04865,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Riverside Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201605250055,2016,5,25,Washington,Vancouver,45.672237,-122.658793,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,First Congregational Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Major (likely > $1 million but < $1 billion),0,,,,,,,,-9,-9,0,-9,0
